kategori_obat,obat,Description,Dosis ,Efek Samping,Cara_Penyimpanan
Nutrisi Parenteral,Human Albumin,"Human Albumin digunakan untuk pengobatan hipoproteinemia (kadar protein dalam darah di bawah kisaran normal), hipoalbuminemia.","Cara Penyimpanan
Simpan pada suhu di bawah 30 ° C. Jangan dibekukan.","Kontraindkasi
Hindari penggunaan Human Albumin pada pasien dengan kondisi:",Efek samping penggunaan Human Albumin yang mungkin terjadi adalah:
Nutrisi Parenteral,Gabaxa,Gabaxa dapat digunakan sebagai suplemen gizi yang di dalamnya terkandung larutan asam amino.,Efek samping yang mungkin terjadi adalah:,"Interaksi Obat
 Belum ada informasi mengenai obat apa saja yang dapat berinteraksi dengan L-alanyl-L-glutamine jika digunakan bersamaan. Sebaiknya konsultasi pada Dokter untuk mengkonsumsi obat lain saat pengunaan obat Gabaxa Injeksi.","Kontraindikasi
 Sebaiknya pemakaian obat ini tidak digunakan bagi pasein yang memiliki riwayat penyakit:"
Nutrisi Parenteral,Enerton 500,Enerton 500 berguna sebagai nutrisi bagi tubuh yang diberikan melalui infus,"Cara Penyimpanan
Simpan pada suhu 25 derajat Celcius, di tempat kering dan terhindar dari cahaya.","Kontraindikasi
Hindari penggunaan pada pasien dengan kondisi:",Efek samping yang dapat terjadi jika menggunakan enerton 500 adalah:
Nutrisi Parenteral,Dipeptiven,Dipeptiven digunakan sebagai suplemen gizi untuk pasien dalam keadaan hiperkatabolik dan atau hipermetabolik (peningkatan metabolisme tubuh),Efek samping penggunaan Dipeptiven yang mungkin terjadi adalah:,"Interaksi Obat
Tidak ada interaksi yang diketahui hingga saat ini.","Kontraindikasi
Hindari penggunaan pada pasien dengan kondisi:"
Nutrisi Parenteral,Clinoleic,Clinoleic adalah sediaan obat untuk memenuhi kebutuhan nutrisi yang diberikan langsung ke pembuluh darah. Bagaimana cara kerjanya? Simak di sini.,Clinoleic belum diketahui terserap ke dalam ASI atau tidak. Konsultasikan pada dokter sebelum menggunakan Clinoleic.,"Tujuan : Memenuhi kebutuhan nutrisi yang diberikan secara parenteral (melalui pembuluh darah) untuk pra atau pasca operasi, sepsis, neonates, luka bakar, gagal ginjal, dan gagal napas.",Clinoleic hanya bisa didapatkan dan digunakan berdasarkan resep dokter. Pemberian kepada pasien harus dengan bantuan tenaga medis. Berikut adalah aturan penggunaan Clinoleic secara umum:
Nutrisi Parenteral,Clinimix,"Clinimix merupakan sediaan infus dengan volume 1000 ml atau 1 liter yang mengandung asam amino, glukosa, dan elektrolit untuk mencukupi kebutuhan nutrisi",Kamu ingin tahu lebih lanjut terkait Clinimix? Yuk simak penjelasan selengkapnya di sini.,"Clinimix N9G15E berfungsi untuk mencukupi kebutuhan nitrogen biologis, energi dan elektrolit yang tidak bisa melalui pemberian per oral.",Artikel lainnya: Benarkah Air Kelapa Ampuh untuk Atasi Dehidrasi?
Nutrisi Parenteral,Amiparen,"Amiparen adalah cairan infus yang mengandung suplai asam amino pada pasien hipoproteinemia, malnutrisi, dan operasi. Ini manfaat, dosis, dan efek samping.",Amiparen termasuk dalam golongan obat keras sehingga hanya bisa didapatkan dan digunakan berdasarkan resep dokter.,"Tujuan: hipoproteinemia, malnutrisi",Berikut adalah dosis dan aturan pakai Amiparen secara umum:
Nutrisi Parenteral,Aminovel 600,"Aminovel 600 digunakan untuk mensuplai nutrisi dalam kasus gangguan saluran cerna, luka bakar yang parah, trauma.",Efek samping yang mungkin dapat terjadi pada penggunaan Aminovel 600 adalah:,"Kategori Kehamilan
Badan Pengawas Obat dan Makanan Amerika Serikat (FDA) mengkategorikan Aminovel 600 ke dalam Kategori C:
Studi pada hewan telah menunjukkan efek buruk pada janin (teratogenik atau embriosidal atau lainnya) dan tidak ada studi terkontrol pada wanita atau studi pada wanita dan hewan tidak tersedia. Obat diberikan hanya jika manfaat yang yang diperoleh lebih besar dari potensi risiko pada janin.","Interaksi Obat
Di bawah ini adalah interaksi Aminovel 600 dengan obat lain jika digunakan secara bersamaan :"
Nutrisi Parenteral,Aminosteril N-Hepa,Aminosteril N-Hepa digunakan untuk mencukupi kebutuhan asam amino sebagai pencegahan penyakit hati yang parah.,Efek samping penggunaan Aminosteril N-Hepa yang mungkin terjadi adalah:,"Kategori Kehamilan
Badan Pengawas Obat dan Makanan Amerika Serikat (FDA) mengkategorikan Aminosteril N-Hepa ke dalam Kategori C:
Studi pada hewan telah menunjukkan efek buruk pada janin (teratogenik atau embriosidal atau lainnya) dan tidak ada studi terkontrol pada wanita atau studi pada wanita dan hewan tidak tersedia. Obat diberikan hanya jika manfaat yang yang diperoleh lebih besar dari potensi risiko pada janin.","Interaksi Obat
Berikut beberapa jenis obat yang berinteraksi langsung penggunaannya apabila diberikan bersamaan dengan Aminosteril N-Hepa:"
Nutrisi Parenteral,Aminosteril,Aminosteril digunakan untuk mempertahankan atau memperbaiki keseimbangan Nitrogen pada pasien yang kekurangan asupan Protein,"Cara Penyimpanan
Simpan pada suhu di bawah 25 derajat Celcius, di tempat kering dan sejuk.","Kategori Kehamilan
Badan Pengawas Obat dan Makanan Amerika Serikat (FDA) mengkategorikan Aminosteril ke dalam Kategori C:
Studi pada hewan telah menunjukkan efek buruk pada janin (teratogenik atau embriosidal atau lainnya) dan tidak ada studi terkontrol pada wanita atau studi pada wanita dan hewan tidak tersedia. Obat diberikan hanya jika manfaat yang yang diperoleh lebih besar dari potensi risiko pada janin.","Efek samping yang mungkin terjadi selama pemberian Aminosteril, antara lain:"
Nutrisi Parenteral,Aminoleban,"Aminoleban digunakan untuk Penyembuhan pada penyakit gula darah rendah, Menghilangkan dehidrasi, Penyakit skizofrenia,Penyembuhan pada luka",Efek samping penggunaan Aminoleban yang mungkin terjadi adalah:,Overdosis,"Kontraindikasi
Hindari penggunaan pada pasien dengan kondisi:"
Nutrisi Parenteral,Aminofluid,"Aminofluid adalah cairan infus berisi asam amino, glukosa, dan elektrolit. Aminofluid diberikan untuk membantu memenuhi nutrisi pada pasien yang tidak mampu menyerap nutrisi di saluran pencernaannya.",Artikel Lainnya: Hal yang Perlu Anda Ketahui tentang Pemasangan Infus,Aminofluid merupakan obat keras yang dapat diperoleh harus dengan resep dokter. Berikut cara penggunaan Aminofluid sesuai anjuran pakai.,Manfaat pemberian Aminofluid adalah menyuplai nutrisi dan memperbaiki keseimbangan nitrogen pasien yang mengalami kondisi berikut:
"Obat Gangguan Tulang, Otot dan Sendi",Zolenic,"Zolenic adalah obat yang digunakan untuk mengatasi hiperkalsemia (kelebihan kadar kalsium), pembelahan sel tulang berhubungan dengan tumor, dan osteoporosis..",Zolenic bekerja dengan menurunkan jumlah kalsium yang dilepaskan tulang ke dalam darah.,"Obat Zolenic digunakan untuk mengatasi hiperkalsemia (kelebihan kadar kalsium), pembelahan sel tulang berhubungan dengan tumor, dan mengatasi osteoporosis.",Artikel Lainnya: Daftar Bahan Herbal untuk Penderita Osteoporosis
"Obat Gangguan Tulang, Otot dan Sendi",Zoledronic Acid,"Zoledronic Acid digunakan untuk mengatasi hiperkalsemia (kelebihan kadar kalsium), pembelahan sel tulang berhubungan dengan tumor.","Cara Penyimpanan
Simpan pada suhu antara 15-30 derajat Celcius. Setelah kemasan dibuka, stabil dalam penyimpanan selama 24 jam pada suhu 2-8 derajat Celcius. Biarkan cairan injeksi yang didinginkan mencapai suhu kamar sebelum disuntikkan pada pasien.","Kontraindikasi
Hindari penggunaan Zoledronic Acid pada pasien dengan kondisi:",Efek samping penggunaan Zoledronic Acid yang mungkin terjadi adalah:
"Obat Gangguan Tulang, Otot dan Sendi",Zitanid,Obat Zitanid sering diresepkan dokter untuk penderita multiple sclerosis. Apa kandungan dan kegunaannya? Berikut ulasan lengkapnya.,"Zitanid bekerja pada sistem saraf dengan cara menenangkan otot yang sakit agar kembali rileks, dan mengurangi risiko munculnya rasa sakit pada penderita.","Obat Zitanid digunakan untuk mengurangi ketegangan otot, misalnya pada kondisi multiple sclerosis atau cedera (penyakit) sumsum tulang belakang.","Tergolong obat keras, penggunaan Zitanid harus berdasarkan resep dokter. Cek di sini ulasan lengkapnya."
"Obat Gangguan Tulang, Otot dan Sendi",Wellness Children's Multi Liquid,"Wellness Children's Multi Liquid membantu meningkatkan nafsu makan, menjaga daya tahan tubuh anak, membantu pertumbuhan anak.",Belum ada efek samping yang dilaporkan.,Hindari pemberian pada pasien yang memiliki Hipersensitif (reaksi berlebihan atau sangat sensitif) terhadap kandungan dalam obat tersebut.,Kontraindikasi:
"Obat Gangguan Tulang, Otot dan Sendi",Valto,Valto dapat digunakan untuk mengatasi peradangan dan mengobati nyeri pada sendi.,"Kontraindikasi
 HIndari penggunaan Valto pada penderita:","Kategori Kehamilan
Badan Pengawas Obat dan Makanan Amerika Serikat (FDA) mengkategorikan Valto ke dalam Kategori C:
Studi pada hewan telah menunjukkan efek buruk pada janin (teratogenik atau embriosidal atau lainnya) dan tidak ada studi terkontrol pada wanita atau studi pada wanita dan hewan tidak tersedia. Obat diberikan hanya jika manfaat yang yang diperoleh lebih besar dari potensi risiko pada janin.",Interaksi Obat
"Obat Gangguan Tulang, Otot dan Sendi",Tylonic,Tylonic mengandung Allopurinol yang digunakan untuk membantu mengobati asam urat dan penyakit batu ginjal,"Kontraindikasi
Pasien yang memiliki hipersensitif (reaksi berlebih atau sangat sensitif) terhadap Allopurinol.","Kategori Kehamilan
Badan Pengawas Obat dan Makanan Amerika Serikat (FDA) mengkategorikan Tylonic ke dalam Kategori C:
Studi pada hewan telah menunjukkan efek buruk pada janin (teratogenik atau embriosidal atau lainnya) dan tidak ada studi terkontrol pada wanita atau studi pada wanita dan hewan tidak tersedia. Obat diberikan hanya jika manfaat yang yang diperoleh lebih besar dari potensi risiko pada janin.","Interaksi Obat
Dapat menyebabkan Penurunan efek allopurinol jika dikonsumsi bersama dengan azathioprine, captopril, cyclophosphamide, enalapril, enalaprilat, fluorouracil, mercaptopurine, pegloticase, tegafur, aluminum hydroxide, cyclosporine, phenprocoumon, vidarabine, dan warfarin."
"Obat Gangguan Tulang, Otot dan Sendi",Tizanidine,Tizanidine adalah obat yang digunakan sebagai pelemas otot dengan kerja pendek. Bagaimana aturan pakai dan dosis Tizanidine? Cari tahu di bawah ini.,Obat keras ini sering kali diresepkan pada pasien multiple sclerosis serta penyakit sumsum tulang.,Manfaat Tizanidine adalah melemaskan otot pada pengobatan pasien dengan multiple sclerosis dan cedera penyakit sumsum tulang belakang.,Kamu ingin tahu penjelasan Tizanidine lebih lanjut? Cek di bawah ini.
"Obat Gangguan Tulang, Otot dan Sendi",Tizacom,Tizacom Tablet merupakan salah satu nama dagang dari Tizanidine.,"Efek samping yang mungkin terjadi apabila mengkonsumsi tizacom adalah infeksi, peningkatan enzim hati, pusing, mengantuk, bradikardia (denyut jantung yang lambat), takikardia (detak jantung melebihi 100 kali per menit).","Kategori Kehamilan
Badan Pengawas Obat dan Makanan Amerika Serikat (FDA) mengkategorikan tizacom ke dalam Kategori C:
Studi pada hewan telah menunjukkan efek buruk pada janin (teratogenik atau embriosidal atau lainnya) dan tidak ada studi terkontrol pada wanita atau studi pada wanita dan hewan tidak tersedia. Obat diberikan hanya jika manfaat yang yang diperoleh lebih besar dari potensi risiko pada janin.","Overdosis
Penggunaan Tizanidine yang berlebihan dapat menimbulkan gejala mual, muntah, hipotensi, bradikardia, perpanjangan QT, pusing, miosis, gangguan pernapasan, koma, gelisah, mengantuk.
 
 Kontraindikasi
Tidak boleh diberikan pada pasien yang memiliki riwayat hipersensitif terhadap tizanidine 
 
 Interaksi Obat"
"Obat Gangguan Tulang, Otot dan Sendi",Thenil,Thenil digunakan sebagai obat pereda nyeri persendian,Efek samping yang mungkin terjadi selama penggunaan Thenil antara lain:,Kontraindikasi,"Overdosis
Penggunaan Tenoxicam yang melebihi dosis anjuran dapat menyebabkan gejala sakit kepala, mual, muntah, nyeri epigastrium, perdarahan GI, jarang diare, disorientasi, eksitasi, koma, mengantuk, pusing, tinitus, pingsan, kadang kejang. Gagal ginjal akut dan kerusakan hati mungkin dapat terjadi."
"Obat Gangguan Tulang, Otot dan Sendi",Tenoxicam,"Tenoxicam digunakan untuk mengatasi gangguan muskuloskeletal akut, osteoartritis, dan artritis reumatoid (nyeri sendi).","Cara Penyimpanan
Simpan pada suhu di bawah 30 ° C.","Kontraindikasi
Hindari penggunaan Tenoxicam pada pasien yang memiliki indikasi:","Efek samping yang mungkin terjadi selama penggunaan Tenoxicam, antara lain:"
"Obat Gangguan Tulang, Otot dan Sendi",Stop-X,"Stop-X adalah sediaan obat yang digunakan untuk membantu meringankan pegal-pegal, nyeri otot dan keseleo.","Cara Penyimpanan
Simpan pada suhu antara 15-25 derajat Celcius.",Kontraindikasi,Efek samping yang mungkin terjadi adalah:
"Obat Gangguan Tulang, Otot dan Sendi",Solaxin,Solaxin adalah obat yang digunakan untuk mengobati kejang otot yang menyakitkan.,Simpan pada suhu antara 20-25 derajat Celcius.,Tidak boleh digunakan oleh pasien dengan kondisi:,"Efek samping yang mungkin terjadi selama pengunaan Solaxin, antara lain:"
"Obat Gangguan Tulang, Otot dan Sendi",Sirdalud,Sidalud diindikasikan untuk nyeri kejang otot dengan multiple sclerosis atau cedera atau penyakit sumsum tulang belakang.,Simpan pada suhu 25 derajat Celcius.,Overdosis Sidalud dapat menyebabkan beberapa gejala berikut:,"Efek samping yang mungkin terjadi selama pengunaan Sidalud, antara lain:"
"Obat Gangguan Tulang, Otot dan Sendi",Sinoric,Sinoric merupakan obat dengan kandungan zat aktif Allopurinol yang digunakan untuk menurunkan kadar asam urat,"Efek samping yang mungkin terjadi selama pengunaan Sinoric, yaitu:",Berikut adalah beberapa interaksi obat yang umumnya terjadi saat penggunaan Sinoric:,Hindari penggunaan pada pasien dengan kondisi:
"Obat Gangguan Tulang, Otot dan Sendi",Selmatic,"Selmatic digunakan untuk mengobati radang sendi pada punggung, osteoartritis.",Simpan pada suhu 20-25˚C.,Hindari penggunaan Selmatic pada pasien yang memiliki indikasi:,Efek samping yang mungkin terjadi antara lain:
"Obat Gangguan Tulang, Otot dan Sendi",Selespurin,Selespurin merupakan obat yang mengandung allopurinol diindikasikan untuk terapi pengobatan asam urat.,Simpan pada suhu antara 15-30 derajat Celcius.,Overdosis Allopurinol dapat menyebabkan beberapa gejala berikut:,"Efek samping yang mungkin terjadi selama pengunaan Selespurin, antara lain:"
"Obat Gangguan Tulang, Otot dan Sendi",Scobutrin,"Scobutrin diindikasikan untuk terapi pengobatan kejang pada saluran pencernaan dan urogenital, serta mengobati sindrom iritasi usus besar.","Efek samping yang mungkin terjadi selama pengunaan Scobutrin, yaitu:",Berikut adalah beberapa Interaksi obat yang umumnya terjadi saat penggunaan Scobutrin Tablet:,Hindari penggunaan Scobutrin pada pasien yang memiliki indikasi:
"Obat Gangguan Tulang, Otot dan Sendi",Sanotrexat,"Sanotrexat adalah obat yang mengandung mengandung methotrexate untuk terapi penyakit kanker, koriokarsinoma, korioadenoma, mola hidatiforme, dan profilaksis leukemia meningeal.","Sanotrexat adalah obat yang mengandung metotreksat, yang digunakan untuk mengobati berbagai kondisi medis, termasuk:","Efektif dalam mengobati penyakit autoimun seperti rheumatoid arthritis, psoriasis, dan penyakit Crohn, dengan mengurangi peradangan dan aktivitas sistem kekebalan tubuh yang berlebihan.","Digunakan dalam pengobatan berbagai jenis kanker, seperti kanker payudara, leukemia, limfoma, dan kanker paru-paru, dengan menghambat pertumbuhan sel kanker."
"Obat Gangguan Tulang, Otot dan Sendi",Samrox,Samrox mengandung piroxicam yang digunakan untuk mengurangi rasa sakit akibat kekakuan sendi dan pembengkakan karena arthritis. Samrox bekerja dengan cara menghambat enzim siklooksigenase 1 dan 2.,Kandungan dalam Samrox dapat terserap ke dalam ASI. Hindari menggunakan obat ini tanpa berkonsultasi dengan dokter.,Bentuk: Tablet,"Tujuan: Nyeri, osteoarthritis, rheumatoid arthritis"
"Obat Gangguan Tulang, Otot dan Sendi",Rocuronium,"Rocuronium digunakan untuk memfasilitasi intubasi endotrakeal, relaksan otot pada anestesi umum dan fasilitasi ventilasi mekanis.",Efek samping penggunaan Rocuronium yang mungkin terjadi adalah:,Studi pada hewan telah menunjukkan efek buruk pada janin (teratogenik atau embriosidal atau lainnya) dan tidak ada studi terkontrol pada wanita atau studi pada wanita dan hewan tidak tersedia. Obat diberikan hanya jika manfaat yang yang diperoleh lebih besar dari potensi risiko pada janin.,Badan Pengawas Obat dan Makanan Amerika Serikat (FDA) mengategorikan Rocuronium ke dalam Kategori C:
"Obat Gangguan Tulang, Otot dan Sendi",Roculax,"Roculax adalah obat yang diberikan saat anestesi umum untuk mengendurkan otot dalam beberapa saat atau selama tindakan medis. Roculax tersedia dalam bentuk injeksi, termasuk kedalam obat keras.",Roculax diproduksi oleh PT Kalbe Farma yang dibuat dalam bentuk sediaan injeksi. Obat hanya diberikan oleh tenaga medis profesional pada kondisi tertentu.,Roculax digunakan sebagai terapi tambahan saat dilakukan anestesi umum yang memiliki berbagai peranan seperti:,Artikel lainnya: Mengenal Prosedur Operasi Elektif dalam Medis
"Obat Gangguan Tulang, Otot dan Sendi",Rizonax,Rizonax diindikasikan untuk pengobatan simtomatik kejang otot.,Simpan pada suhu dibawah 30 derajat Celcius.,Hindari penggunaan pada pasien dengan kondisi:,Efek samping yang dapat timbul yaitu:
"Obat Gangguan Tulang, Otot dan Sendi",Ristonat,Risedronate digunakan sebagai obat untuk mencegah dan mengobati penyakit osteoporosis.,Simpan pada suhu dibawah 30 derajat Celcius.,Overdosis Ristonat dapat menyebabkan beberapa gejala berikut:,Efek samping penggunaan Ristonat yang mungkin terjadi adalah:
"Obat Gangguan Tulang, Otot dan Sendi",Rinolic,"Rinolic digunakan untuk membantu mengobati hiperurisemia (kadar asam urat dalam darah meningkat), gout (nyeri pada persendian), batu ginjal.","Efek samping penggunaan Rinolic yang mungkin terjadi adalah:ruam, reaksi hipersensitivitas, mual, muntah, asimtomatik peningkatan uji fungsi hati.",Badan Pengawas Obat dan Makanan Amerika Serikat (FDA) mengategorikan Rinolic ke dalam Kategori C:,Hindari penggunaan Rinolic pada pasien dengan kondisi:
"Obat Gangguan Tulang, Otot dan Sendi",Reucid,"Reucid merupakan obat yang digunakan untuk menurunkan kadar asam urat yang berlebih misalnya pada penderita gout, dan hiperurisemia.",Efek samping yang mungkin terjadi adalah:,Badan Pengawas Obat dan Makanan Amerika Serikat (FDA) mengkategorikan Reucid ke dalam Kategori C: Studi pada hewan telah menunjukkan efek buruk pada janin (teratogenik atau embriosidal atau lainnya) dan tidak ada studi terkontrol pada wanita atau studi pada wanita dan hewan tidak tersedia. Obat diberikan hanya jika manfaat yang yang diperoleh lebih besar dari potensi risiko pada janin.,Tidak dapat digunakan pada pasien HLA-B * 58: 01-positif.
"Obat Gangguan Tulang, Otot dan Sendi",Relaxon,Relaxon adalah obat dengan kandungan Eperisone HCl yang digunakan untuk pengobatan gejala yang berhubungan dengan kejang otot. Relaxon dikonsumsi untuk dewasa dan termasuk golongan obat keras.,"Relaxon merupakan obat yang termasuk ke dalam golongan obat keras sehingga pada setiap pembeliannya harus menggunakan resep Dokter. Selain itu, dosis penggunaan Relaxon juga harus dikonsultasikan dengan Dokter terlebih dahulu sebelum digunakan, karena dosis penggunaannya berbeda-beda setiap individu tergantung berat tidaknya penyakit yang diderita.",Bentuk: Tablet,Tujuan: Gejala kejang otot
"Obat Gangguan Tulang, Otot dan Sendi",Rebone,Rebone digunakan untuk meringankan gangguan pada persendian.,Simpan pada suhu dibawah 30 derajat Celcius.,Hindari pemberian pada pasien yang memiliki hipersensitif pada Rebone.,"Efek samping yang mungkin terjadi selama pengunaan Rebone Kaplet, yaitu:"
"Obat Gangguan Tulang, Otot dan Sendi",Raost,"Raost merupakan salah satu Sediaan Kaplet yang mengandung Kalium Diklofenak, obat ini diproduksi oleh Pyridam Farma.","Efek samping yang mungkin terjadi selama pengunaan Raost, yaitu:",Berikut adalah beberapa obat yang dapat berinteraksi dengan Raost yaitu:,Hindari penggunaan Raost pada pasien yang memiliki indikasi:
"Obat Gangguan Tulang, Otot dan Sendi",Puricemia,Puricemia digunakan untuk mengurangi kadar asam urat dalam darah pada penderita gout dan hiperurisemia.,Simpan pada suhu antara 15-30 derajat Celcius.,Hindari penggunaan pada pasien dengan kondisi:,Efek samping yang mungkin terjadi adalah:
"Obat Gangguan Tulang, Otot dan Sendi",Puresco,"Puresco digunakan untuk mengobati asam urat, peningkatan kadar asam urat dalam darah, hiperurisemia yang diinduksi terapi kanker.","Efek samping yang mungkin terjadi selama penggunaan Puresco, antara lain:",Berikut adalah beberapa interaksi obat yang umumnya terjadi saat penggunaan Puresco:,Hindari penggunaan Puresco pada pasien dengan kadar HLA-B * 58: 01-positif..
"Obat Gangguan Tulang, Otot dan Sendi",Protecal Solid,Protecal Solid merubakan suplemen tablet effervescent yang diproduksi oleh Konimex.,"Belum ada laporan mengenai efek samping Protecal Solid. Namun suplemen ini mengandung Vitamin D dan Kalsium, umumnya efek samping yang mungkin ditimbulkan selama mengkonsumsi Vitamin D dan Kalsium adalah:",Konsultasikan pada dokter sebelum mengkonsumsi suplemen ini.,"Protecal Solid mengandung aspartam sehingga tidak boleh diberikan pada penderita fenilketouria, tidak boleh diberikan pada pasien dengan kadar fenilalanin tinggi."
"Obat Gangguan Tulang, Otot dan Sendi",Protecal Osteo,"Protecal Osteo digunakan untuk menjaga kepadatan tulang, mencegah osteoporosis dan menjaga kesehatan gigi.","Simpan pada suhu dibawah 30 derajat Celcius, serta terhindar dari sinar matahari langsung.",Konsultasikan pada dokter sebelum mengkonsumsi suplemen ini.,"Belum ada laporan mengenai efek samping Protecal Osteo. Namun suplemen ini mengandung Vitamin D dan Kalsium, umumnya efek samping yang mungkin ditimbulkan selama mengkonsumsi Vitamin D dan Kalsium adalah:"
"Obat Gangguan Tulang, Otot dan Sendi",Protecal Defense,Protecal Defense merupakan suplemen yang digunakan untuk membantu meningkatkan daya tahan tubuh.,Simpan ditempat yang kering dengan suhu dibawah 30 derajat Celcius.,Tidak boleh diberikan pada pasien dengan kondisi:,Belum ada efek samping yang dilaporkan.
"Obat Gangguan Tulang, Otot dan Sendi",Prostigmin,Prostigmin diindikasikan untuk mengontrol gejala myasthenia gravis (penyakit autoimun yang menghasilkan kelemahan otot).,Efek samping yang mungkin terjadi adalah:,"Prostigmin akan berinteraksi jika diberikan bersamaan dengan obat Neomisin, streptomisin, kanamisin, anestesi lokal & umum, obat anti aritmia.","Tidak boleh di berikan pada penderita obstruksi mekanik saluran cerna atau saluran kemih, peritonitis (peradangan pada lapisan tipis dinding dalam perut)."
"Obat Gangguan Tulang, Otot dan Sendi",Pritanol,Pritanol merupakan obat yang di produksi oleh Molex Ayus.,Efek samping yang mungkin akan timbul adalah:,Menurut FDA (Badan Pengawas Obat dan Makanan Amerika erikat) mengkategorikan Pritanol dalam kategori C dengan penjelasan sebagai berikut,Hindari penggunaan pada pasien dengan kondisi:
